Participant_ID,Sex,Age,Musician_type,Questionnaire,Excerpt_id,a l'aise,acceleration du rythme corporel ou cardiaque,aerien,arret du temps,bercement,bien-etre corporel,bouger,calme,chair de poule (sensation de),chaleur,danser,decouvrir,dehanchement,dynamique,echapper a quelque chose,eclatant,effondre,emouvant,enivrant,enveloppant,epanouissement,esperer,evenement important,fete,flotter,gambader,gestes larges,grandeur,grands espaces,harmonieux,image (dans la tete),imaginer,immense,impressionnant,inspire,intense,interieur,interieur de soi-meme,interiorisation,intime,jambes qui bougent,magique,montee en puissance,mouvement,mouvement du corps,mouvemente,onduler,paisible,pensees vagabondes,petillant,pied bat la mesure,planer,poesie,profond,rassurant,reconfort,reflechir,"respiration reguliere et calme, lente et profonde",rever,rire,romantisme,rythme,s'amplifier,s'embrasser,s'en aller,s'envoler,s'evader,s'ouvrir,sauts,se balader,se blottir,se projeter,se promener,se retrouver,seduire,sensation,sensuel,serrement de coeur,songeur,sourire,souvenirs,tortueux,touche l'ensemble du corps,tournoyer,vibrer,voyage
R_232dFGVktvIVWvm,M,22,2,3,mahler_empfunden,6,0,0,0,6,6,2,8,2,5,3,3,1,2,0,2,0,5,0,3,3,4,4,4,5,3,1,4,5,5,0,5,3,0,5,2,0,2,4,5,3,5,1,0,0,5,4,7,5,3,2,5,5,5,0,6,3,3,4,0,6,1,1,2,3,5,1,3,4,2,5,4,4,3,1,2,3,0,5,4,5,2,3,2,3,3
R_232dFGVktvIVWvm,M,22,2,3,marais_reveuse,3,1,5,6,7,5,1,8,2,1,0,0,0,1,5,0,4,7,1,1,3,3,4,0,4,0,0,0,4,6,5,3,0,1,6,2,2,7,6,7,0,0,3,3,1,1,2,7,6,0,0,5,5,7,2,4,5,8,2,0,2,1,2,0,2,0,1,1,0,0,5,5,5,1,4,3,0,7,6,1,6,0,2,1,1,3
R_232dFGVktvIVWvm,M,22,2,3,stravinsky_sacreprintemps,2,5,7,0,0,0,7,0,1,3,0,4,1,6,8,7,0,1,5,2,0,3,5,0,2,4,7,4,6,1,5,5,4,5,5,6,1,1,3,0,6,3,7,6,6,7,6,0,2,2,3,0,1,0,1,0,2,0,0,0,0,6,6,1,0,4,7,4,5,0,0,5,0,0,0,4,0,5,2,2,3,2,6,5,6,6
R_232dFGVktvIVWvm,M,22,2,3,vivaldi_cantabile,6,0,4,6,6,7,1,7,2,3,2,3,2,1,0,2,1,5,2,1,5,6,2,2,5,6,2,1,6,6,4,4,1,2,3,3,3,2,5,6,2,4,3,3,3,3,4,7,4,2,4,5,6,4,6,5,4,6,5,2,5,2,4,4,6,4,0,3,3,7,5,0,6,5,3,4,3,2,4,5,4,0,3,3,3,6
R_238fQ63KfhGX4Wq,F,20,2,2,bach_air,3,1,5,3,5,6,2,7,1,2,1,1,4,1,0,1,0,4,0,7,1,1,1,4,4,6,0,1,5,6,2,2,1,4,6,1,1,2,1,3,2,4,0,1,3,2,3,6,4,6,0,3,5,6,2,3,4,8,4,3,4,1,1,5,0,0,4,4,2,7,1,5,7,4,6,3,4,3,5,5,2,1,5,1,3,4
R_238fQ63KfhGX4Wq,F,20,2,2,bach_andanteunpoco,1,0,1,8,8,3,0,2,0,0,1,2,1,0,0,0,2,3,3,4,4,3,3,2,4,0,0,1,0,6,2,4,0,2,3,0,1,1,4,4,0,2,0,2,0,0,0,6,8,0,0,3,4,1,1,1,5,7,3,2,4,1,0,1,7,0,2,1,1,1,1,5,1,1,2,1,2,3,7,2,6,4,1,0,1,0
R_238fQ63KfhGX4Wq,F,20,2,2,bach_fugueindsharpminor,6,1,6,6,6,8,1,7,1,3,4,6,4,1,0,0,1,7,7,7,7,4,1,0,4,1,0,0,0,7,7,7,0,0,7,0,6,5,1,7,0,3,0,2,1,0,4,7,6,0,0,6,7,8,6,5,5,8,6,1,7,3,4,6,0,1,5,8,1,0,7,5,2,7,7,6,8,7,5,5,3,1,6,5,7,3
R_238fQ63KfhGX4Wq,F,20,2,2,bach_passacaglia,0,5,0,0,0,0,0,0,5,0,0,1,0,0,8,0,7,1,0,1,0,0,4,0,0,0,0,6,0,0,4,1,7,6,0,8,3,0,1,0,0,1,6,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,5,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,1,0
R_238fQ63KfhGX4Wq,F,20,2,2,beethoven_allegretto,5,0,2,3,8,1,1,4,1,1,5,1,1,0,1,0,3,2,0,5,1,4,1,0,4,0,0,2,0,3,1,1,3,1,1,1,1,1,3,1,0,1,0,2,1,0,0,3,7,0,0,4,4,4,3,1,6,4,8,0,2,1,0,2,0,0,1,0,0,1,2,5,1,3,3,2,3,3,4,0,1,4,1,1,1,1
R_238fQ63KfhGX4Wq,F,20,2,2,geminiani_adagio,4,0,0,2,4,3,2,2,1,4,7,1,6,0,0,0,0,5,3,6,2,5,5,5,6,1,0,5,0,5,1,1,4,3,5,0,5,1,3,4,1,2,0,6,2,0,0,4,3,0,3,2,4,2,2,2,1,0,4,1,3,1,1,1,0,1,2,2,1,0,2,0,5,0,4,4,2,1,3,1,0,0,3,5,1,0
