METAPHORS,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,SUM,AVERAGE,VARIANCE,
pétillant,7,5,5,6,6,7,6,5,7,1,6,6,0,7,8,6,0,3,5,5,7,6,2,4,6,7,8,5,6,2,0,5,7,6,1,6,4,6,7,1,2,7,0,7,8,5,5,7,3,6,0,0,1,8,6,3,3,2,6,6,2,4,4,6,8,4,3,5,7,7,8,2,5,7,4,0,8,8,7,0,7,4,2,7,4,7,1,7,0,8,8,5,6,447,4.806451613,6.266479663,
décompression,5,6,0,3,7,5,4,6,7,5,4,6,8,2,8,6,4,5,1,7,6,6,6,6,6,7,6,5,8,8,2,3,7,7,2,1,8,3,7,8,6,5,0,6,7,0,6,1,3,8,1,0,4,3,8,2,6,4,4,6,0,2,3,8,8,6,4,5,8,7,8,4,3,7,4,0,7,0,0,8,4,8,4,6,7,3,0,7,6,6,0,6,8,448,4.817204301,6.585787751,
envoûtement,7,5,6,2,6,8,4,7,5,3,2,7,5,4,6,6,3,5,4,2,4,5,5,6,8,7,8,6,4,7,0,5,5,7,3,8,1,3,6,5,6,7,3,7,7,5,4,3,4,2,1,8,5,4,6,4,7,3,7,4,7,4,3,6,7,0,6,7,7,5,8,3,6,0,5,0,7,5,4,0,2,6,0,4,6,8,4,5,3,5,8,3,8,449,4.827956989,4.796166433,
déhanchement,7,3,8,2,7,5,7,8,8,0,3,8,8,2,8,4,5,6,3,4,8,7,2,4,8,7,7,4,6,8,0,7,8,4,4,0,5,6,6,7,0,0,5,8,5,6,8,2,3,8,0,0,1,5,8,2,6,0,4,5,3,0,5,8,8,5,4,5,8,4,8,1,0,5,3,7,6,0,6,0,7,2,3,4,5,8,6,4,6,8,8,5,8,450,4.838709677,7.288920056,
intériorisation,7,8,4,0,5,7,8,6,3,5,2,6,7,7,2,8,7,6,1,3,2,2,6,3,0,7,7,8,6,7,7,1,5,6,8,3,8,2,7,6,6,6,2,6,8,6,3,4,8,2,1,3,5,1,4,0,6,6,8,5,6,0,4,4,4,6,6,6,2,6,5,4,6,3,2,5,6,2,0,7,4,6,5,4,5,7,3,7,5,7,8,5,8,451,4.849462366,5.368396447,
bouleverser,6,2,8,2,5,8,6,4,8,8,5,8,4,7,1,6,2,3,4,7,0,3,3,8,6,6,8,5,7,7,0,6,4,7,6,8,4,6,8,6,5,4,5,7,6,3,7,8,4,1,3,5,4,3,5,4,3,2,7,5,7,3,4,7,8,3,1,6,8,4,7,8,0,0,5,1,0,5,6,2,4,4,3,7,7,6,1,5,5,6,4,6,6,452,4.860215054,5.295465171,
touche l'ensemble du corps,6,2,8,7,8,7,5,7,5,5,5,7,8,7,3,4,8,5,0,5,5,7,4,5,7,4,7,6,7,5,0,6,8,4,4,7,4,5,6,0,3,6,0,7,0,3,8,8,3,8,1,4,2,4,6,2,7,0,5,3,6,1,6,6,8,5,4,6,6,6,8,1,7,0,3,0,8,2,7,0,7,4,5,1,5,2,6,5,8,3,8,7,8,452,4.860215054,6.230247779,
arrêt du temps,4,5,1,0,5,6,8,7,2,6,5,4,7,7,4,0,6,5,2,4,2,0,7,6,7,7,6,8,7,7,7,0,8,5,6,4,8,3,7,8,5,7,6,7,8,2,3,6,8,2,0,6,4,2,5,2,1,6,0,8,7,2,3,8,8,6,3,4,8,5,3,5,0,4,7,6,7,4,2,0,2,6,6,6,6,8,6,5,8,1,5,5,8,453,4.870967742,6.178821879,
frisson,5,8,5,6,7,7,8,7,5,0,8,4,8,8,6,5,6,6,3,6,6,4,5,3,7,7,6,8,5,6,5,2,8,5,7,5,6,1,8,6,5,7,5,6,5,6,0,8,4,5,1,0,1,3,6,5,6,0,0,2,7,0,2,8,2,6,5,5,8,5,4,8,8,4,5,2,3,4,0,5,2,5,6,5,5,6,3,6,1,2,4,6,8,453,4.870967742,5.483169705,
relâchement,4,7,7,0,2,8,6,6,8,3,7,4,7,5,2,5,3,5,4,0,6,5,4,6,8,6,6,7,6,6,8,0,2,8,6,4,8,5,7,8,0,6,6,6,4,2,4,4,6,8,1,4,5,3,5,7,5,3,0,4,5,6,4,8,6,4,2,5,6,5,3,8,3,5,6,0,7,4,8,0,8,7,1,5,5,0,2,7,5,8,5,5,8,453,4.870967742,5.483169705,
vibrer,4,8,4,5,6,8,8,0,6,0,5,4,8,2,8,8,3,4,4,3,7,5,6,5,6,7,5,7,6,6,7,0,4,7,8,4,8,6,7,8,6,6,6,6,1,1,2,8,5,3,1,4,0,5,4,6,6,2,1,4,5,5,5,8,6,3,1,6,8,5,2,8,0,5,7,5,7,1,7,8,1,2,3,6,7,4,2,6,2,7,4,7,8,455,4.892473118,5.770920991,
élégance,7,4,6,4,8,6,6,3,6,3,5,8,3,7,5,6,4,4,6,6,7,7,4,7,3,6,7,7,6,2,2,7,8,6,4,2,7,7,6,3,5,7,8,4,8,3,6,8,1,6,0,6,0,4,2,3,6,4,2,7,2,0,4,8,8,1,5,2,8,6,7,4,5,5,4,0,5,7,5,8,6,1,5,5,4,0,3,6,3,7,5,5,8,457,4.913978495,5.014259,
détendu,4,8,7,1,2,7,7,8,5,2,7,4,6,5,2,1,7,5,3,1,4,6,6,6,8,4,7,4,6,6,7,1,3,8,8,5,3,5,6,8,0,6,7,6,7,7,6,3,7,5,1,4,3,4,3,4,4,8,0,3,5,3,4,7,5,7,4,3,8,6,3,8,6,2,5,5,5,2,7,4,5,8,5,6,5,2,4,6,5,5,3,6,8,458,4.924731183,4.461664329,
cœur qui palpite,6,3,6,5,6,6,7,5,7,4,5,8,8,7,5,6,3,5,3,6,7,8,2,5,4,6,7,5,8,7,0,6,7,7,4,8,5,4,7,7,6,7,7,5,3,3,5,7,3,4,1,1,3,4,7,1,4,3,3,3,1,0,5,3,8,5,1,8,6,6,8,5,1,1,3,0,5,6,8,6,7,3,7,4,4,5,3,5,5,8,5,6,7,460,4.946236559,4.703599813,
chaleur,5,6,4,6,5,5,7,6,4,1,6,2,7,3,2,4,8,4,6,6,8,6,4,2,0,4,6,6,4,2,8,0,5,8,7,3,8,7,7,8,4,6,6,6,5,2,5,8,7,6,0,1,2,6,4,5,6,7,2,5,6,3,4,8,6,6,1,6,7,6,3,8,7,2,7,5,7,2,4,5,6,5,4,2,7,7,3,5,3,8,2,5,8,461,4.956989247,4.672043011,
rire,6,6,1,6,7,7,8,2,7,0,7,6,7,4,3,2,8,6,3,6,8,6,6,6,7,2,6,7,1,5,8,0,8,8,7,4,7,8,7,3,5,7,5,7,8,4,7,5,7,5,1,0,0,4,3,7,3,3,0,7,4,5,5,6,2,7,5,6,6,6,1,8,5,0,6,0,0,3,7,8,6,6,5,5,5,8,0,6,0,8,7,3,8,461,4.956989247,6.498129967,
enivrant,7,1,8,6,6,7,0,7,2,6,2,8,8,7,5,7,6,4,5,4,8,4,3,7,2,6,8,5,6,8,2,8,7,6,3,8,2,8,7,4,5,6,1,7,3,0,4,8,6,4,1,6,0,4,7,6,5,0,5,7,4,4,5,5,8,2,4,7,8,3,8,4,5,6,6,4,7,0,6,0,6,6,5,6,6,6,4,6,4,0,5,5,8,466,5.010752688,5.489013558,
puissance,5,7,6,4,2,7,8,5,1,2,6,4,7,7,8,8,7,7,5,5,2,2,6,4,7,6,5,7,4,5,8,1,6,8,8,3,8,4,7,7,3,7,6,7,5,6,5,8,4,6,0,8,0,2,3,4,6,2,0,3,8,0,4,7,2,5,5,5,8,5,2,8,5,4,6,6,4,5,7,6,5,3,4,0,3,6,1,5,3,8,8,6,8,466,5.010752688,5.315100514,
chair de poule (sensation de),8,3,8,7,6,8,8,3,8,7,4,8,2,6,3,7,5,4,8,7,2,6,4,7,6,5,8,4,7,5,1,7,0,6,7,8,7,7,6,8,6,8,0,7,8,5,2,8,3,8,1,7,1,7,7,3,7,0,1,6,0,0,4,2,8,0,5,6,8,4,8,3,7,0,4,0,3,7,7,4,6,6,0,7,7,5,1,5,1,5,6,4,8,467,5.021505376,7.043010753,
poésie,5,7,6,5,7,7,6,1,5,0,6,7,7,8,0,7,8,4,8,8,3,6,1,7,0,7,7,7,7,8,1,6,8,6,3,8,6,8,8,4,6,7,3,5,5,1,8,8,2,7,1,7,5,1,1,2,7,5,7,7,1,4,3,3,7,3,6,4,6,6,5,3,7,6,7,2,0,3,8,8,7,8,1,1,1,0,3,6,3,7,7,5,8,467,5.021505376,6.651706405,
chez soi,6,6,1,0,7,7,5,8,5,6,3,8,5,7,7,4,0,8,1,6,7,5,5,4,0,6,6,6,6,8,2,6,7,8,6,1,6,6,6,8,5,7,0,6,6,0,6,7,4,4,4,0,4,8,8,1,8,2,1,6,2,2,7,8,8,7,4,5,8,7,5,3,0,7,1,0,7,2,7,8,6,8,4,5,6,6,0,6,8,7,5,7,8,470,5.053763441,6.638382422,
cœur,7,6,6,4,1,8,8,2,4,0,8,4,7,7,7,8,8,3,5,3,6,5,7,1,8,5,3,7,6,7,5,0,8,8,7,8,8,6,6,4,0,6,6,5,8,5,4,8,4,8,1,1,2,2,3,5,5,3,4,7,5,0,2,8,6,6,5,6,8,6,1,8,0,0,6,1,6,5,0,5,5,6,5,8,6,8,4,5,2,7,8,7,8,471,5.064516129,6.343618513,
s'embrasser,5,8,5,3,6,8,8,5,2,1,7,6,7,7,3,8,7,6,6,5,7,7,7,5,0,4,7,8,3,3,7,1,8,7,8,6,8,7,5,0,6,6,5,2,7,2,7,6,8,7,0,0,0,5,1,0,5,7,3,3,5,3,4,6,6,5,2,6,8,5,5,6,8,0,6,6,2,4,7,3,6,7,3,5,5,8,3,6,2,8,8,5,8,472,5.075268817,5.852968677,
se projeter,6,4,8,7,7,7,8,6,7,6,7,8,0,8,6,7,0,5,6,4,4,5,4,7,1,8,8,7,7,6,0,0,5,7,6,8,7,6,7,8,5,8,1,8,0,7,6,2,4,3,4,7,3,8,0,1,7,4,6,6,8,3,1,5,8,6,7,7,5,5,8,4,0,5,4,0,0,1,0,4,8,6,2,7,7,8,3,6,0,6,8,4,8,472,5.075268817,7.092099112,
accélération du rythme corporel ou cardiaque,6,6,4,0,8,7,6,7,8,3,8,2,8,7,8,8,6,5,4,2,5,7,7,3,8,5,6,6,7,7,8,1,8,7,8,3,8,6,7,7,0,0,7,7,0,5,3,8,6,8,1,3,1,5,1,6,3,4,1,5,5,2,5,8,2,6,4,7,8,5,2,8,0,1,1,2,7,7,5,6,6,4,2,4,6,2,6,6,5,7,8,7,8,473,5.086021505,6.340345956,
calme,5,6,7,2,7,5,7,7,8,3,6,6,1,4,6,5,2,5,2,6,8,5,6,5,8,6,4,5,6,8,2,4,4,8,5,8,5,7,7,7,6,7,3,1,8,3,7,7,2,2,3,3,7,6,6,3,4,8,4,5,3,6,3,5,6,2,3,2,8,6,8,7,8,0,7,0,3,5,4,7,3,7,6,6,2,6,2,6,5,4,5,7,8,473,5.086021505,4.492519869,
